UpDown,lag1return,lag2return,lag3return,lag4return,lag5return
0,0.000950055,-0.009557103,0.012808167,-0.002874883,-0.007752985
1,-0.001275212,0.000950055,-0.009557103,0.012808167,-0.002874883
1,0.003911964,-0.001275212,0.000950055,-0.009557103,0.012808167
0,0.005211424,0.003911964,-0.001275212,0.000950055,-0.009557103
0,-0.00262553,0.005211424,0.003911964,-0.001275212,0.000950055
0,-0.008254877,-0.00262553,0.005211424,0.003911964,-0.001275212
0,-0.02110017,-0.008254877,-0.00262553,0.005211424,0.003911964
0,-0.031850965,-0.02110017,-0.008254877,-0.00262553,0.005211424
0,-0.039413693,-0.031850965,-0.02110017,-0.008254877,-0.00262553
1,-0.013521995,-0.039413693,-0.031850965,-0.02110017,-0.008254877
1,0.039033859,-0.013521995,-0.039413693,-0.031850965,-0.02110017
1,0.024297748,0.039033859,-0.013521995,-0.039413693,-0.031850965
0,0.000608736,0.024297748,0.039033859,-0.013521995,-0.039413693
0,-0.00839167,0.000608736,0.024297748,0.039033859,-0.013521995
1,-0.029576447,-0.00839167,0.000608736,0.024297748,0.039033859
1,0.018292975,-0.029576447,-0.00839167,0.000608736,0.024297748
0,0.001164794,0.018292975,-0.029576447,-0.00839167,0.000608736
1,-0.015329596,0.001164794,0.018292975,-0.029576447,-0.00839167
0,0.025083053,-0.015329596,0.001164794,0.018292975,-0.029576447
1,-0.01389756,0.025083053,-0.015329596,0.001164794,0.018292975
1,0.005277955,-0.01389756,0.025083053,-0.015329596,0.001164794
0,0.004487043,0.005277955,-0.01389756,0.025083053,-0.015329596
1,-0.004089656,0.004487043,0.005277955,-0.01389756,0.025083053
1,0.012831312,-0.004089656,0.004487043,0.005277955,-0.01389756
0,0.008705414,0.012831312,-0.004089656,0.004487043,0.005277955
0,-0.00256106,0.008705414,0.012831312,-0.004089656,0.004487043
1,-0.016164166,-0.00256106,0.008705414,0.012831312,-0.004089656
0,0.004565784,-0.016164166,-0.00256106,0.008705414,0.012831312
0,-0.01231843,0.004565784,-0.016164166,-0.00256106,0.008705414
0,-0.002048643,-0.01231843,0.004565784,-0.016164166,-0.00256106
0,-0.003362985,-0.002048643,-0.01231843,0.004565784,-0.016164166
0,-0.000465793,-0.003362985,-0.002048643,-0.01231843,0.004565784
1,-0.02566609,-0.000465793,-0.003362985,-0.002048643,-0.01231843
1,0.001232853,-0.02566609,-0.000465793,-0.003362985,-0.002048643
1,0.019075556,0.001232853,-0.02566609,-0.000465793,-0.003362985
1,0.001973884,0.019075556,0.001232853,-0.02566609,-0.000465793
1,0.014315289,0.001973884,0.019075556,0.001232853,-0.02566609
0,0.018289841,0.014315289,0.001973884,0.019075556,0.001232853
1,-0.003588236,0.018289841,0.014315289,0.001973884,0.019075556
1,0.008035634,-0.003588236,0.018289841,0.014315289,0.001973884
1,0.008818436,0.008035634,-0.003588236,0.018289841,0.014315289
1,0.000725111,0.008818436,0.008035634,-0.003588236,0.018289841
0,0.001275477,0.000725111,0.008818436,0.008035634,-0.003588236
0,-0.006825424,0.001275477,0.000725111,0.008818436,0.008035634
1,-0.004716274,-0.006825424,0.001275477,0.000725111,0.008818436
1,0.014852774,-0.004716274,-0.006825424,0.001275477,0.000725111
1,0.004570474,0.014852774,-0.004716274,-0.006825424,0.001275477
0,0.000270546,0.004570474,0.014852774,-0.004716274,-0.006825424
0,-0.00142109,0.000270546,0.004570474,0.014852774,-0.004716274
1,-0.005825415,-0.00142109,0.000270546,0.004570474,0.014852774
1,0.016627572,-0.005825415,-0.00142109,0.000270546,0.004570474
0,0.011030344,0.016627572,-0.005825415,-0.00142109,0.000270546
0,-0.0019131,0.011030344,0.016627572,-0.005825415,-0.00142109
1,-0.002554119,-0.0019131,0.011030344,0.016627572,-0.005825415
0,0.011840033,-0.002554119,-0.0019131,0.011030344,0.016627572
0,-0.000449774,0.011840033,-0.002554119,-0.0019131,0.011030344
1,-0.004809877,-0.000449774,0.011840033,-0.002554119,-0.0019131
1,0.011873817,-0.004809877,-0.000449774,0.011840033,-0.002554119
0,0.002728067,0.011873817,-0.004809877,-0.000449774,0.011840033
0,-0.003545367,0.002728067,0.011873817,-0.004809877,-0.000449774
0,-0.001132148,-0.003545367,0.002728067,0.011873817,-0.004809877
0,-0.000347622,-0.001132148,-0.003545367,0.002728067,0.011873817
1,-0.009822729,-0.000347622,-0.001132148,-0.003545367,0.002728067
0,0.001510595,-0.009822729,-0.000347622,-0.001132148,-0.003545367
0,-0.003228086,0.001510595,-0.009822729,-0.000347622,-0.001132148
0,-0.013990375,-0.003228086,0.001510595,-0.009822729,-0.000347622
1,-0.011207365,-0.013990375,-0.003228086,0.001510595,-0.009822729
0,0.014903265,-0.011207365,-0.013990375,-0.003228086,0.001510595
1,-0.001339379,0.014903265,-0.011207365,-0.013990375,-0.003228086
0,0.016162452,-0.001339379,0.014903265,-0.011207365,-0.013990375
1,-0.001123109,0.016162452,-0.001339379,0.014903265,-0.011207365
0,0.003810196,-0.001123109,0.016162452,-0.001339379,0.014903265
1,-0.001234861,0.003810196,-0.001123109,0.016162452,-0.001339379
